Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2221.0,012,014,1.0
2353.0,033,031,1.0
2606.0,003,025,1.0
2346.0,009,004,1.0
5044.0,017,021,1.0
4108.0,023,019,1.0
2119.0,002,019,1.0
4245.0,019,023,1.0
2696.0,030,023,1.0
2697.0,024,015,1.0
5085.0,007,027,1.0
5690.0,029,026,1.0
5062.0,014,008,1.0
2119.0,014,007,1.0
5055.0,018,029,1.0
5567.0,027,019,1.0
4264.0,018,029,1.0
2787.0,004,011,1.0
5569.0,034,007,1.0
2269.0,016,013,1.0
4258.0,018,032,1.0
2344.0,027,005,1.0
2645.0,014,019,1.0
2712.0,018,021,1.0
5066.0,017,009,1.0
2139.0,024,033,1.0
5305.0,029,018,1.0
2348.0,003,036,1.0
2325.0,020,005,1.0
5183.0,027,023,1.0
2022.0,010,004,1.0
2644.0,005,021,1.0
2104.0,007,034,1.0
5087.0,019,023,1.0
6084.0,016,002,1.0
2115.0,003,024,1.0
5526.0,028,010,1.0
4259.0,015,019,1.0
2190.0,002,013,1.0
2679.0,014,015,1.0
4251.0,004,037,1.0
2120.0,031,029,1.0
2329.0,007,025,1.0
2417.0,015,005,1.0
2417.0,008,011,1.0
5542.0,022,025,1.0
6014.0,025,014,1.0
2148.0,005,008,1.0
2781.0,021,016,1.0
4007.0,005,011,1.0
2633.0,015,016,1.0
2785.0,015,031,1.0
2237.0,021,003,1.0
2662.0,002,006,1.0
2348.0,001,036,1.0
4256.0,004,020,1.0
2424.0,027,022,1.0
5513.0,007,001,1.0
2697.0,023,016,1.0
4259.0,011,009,1.0
4254.0,003,015,1.0
2327.0,007,050,1.0
2685.0,013,021,1.0
2310.0,024,035,1.0
2311.0,003,017,1.0
5116.0,005,028,1.0
2404.0,015,015,1.0
6066.0,011,025,1.0
5542.0,022,025,1.0
2558.0,035,022,1.0
2565.0,016,030,1.0
5048.0,004,032,1.0
5516.0,017,007,1.0
4370.0,014,035,1.0
2237.0,017,010,1.0
7463.0,006,039,1.0
2715.0,031,049,1.0
2669.0,020,007,1.0
2236.0,001,012,1.0
5016.0,029,010,1.0
2237.0,004,013,1.0
5537.0,007,020,1.0
2034.0,013,007,1.0
6031.0,030,018,1.0
4315.0,009,030,1.0
2783.0,014,006,1.0
5114.0,019,009,1.0
5309.0,025,001,1.0
4258.0,012,017,1.0
5128.0,001,034,1.0
7452.0,017,017,1.0
5115.0,031,028,1.0
5109.0,010,027,1.0
